DAY,# MILLION (first) DOSES ,CUMULATIVE MILLION (FIRST) DOSES,,,,,,,
5-Oct,0,200,,,,,,,
6-Oct,0,200,,,,,,,
7-Oct,0,200,,,,,,,
8-Oct,0,200,,,,,,,
9-Oct,0,200,,,,,,,
10-Oct,0,200,,,,,,,
11-Oct,0,200,,,,,,,
12-Oct,0,200,,,,,,,
13-Oct,0,200,,,,,,,
14-Oct,0,200,,,,,,,
15-Oct,0,200,,,,,,,
16-Oct,0,200,,,,,,,
17-Oct,0,200,,,,,,,
18-Oct,0,200,,,,,,,
19-Oct,0,200,,,,,,,
20-Oct,0,200,,,,,,,
21-Oct,0,200,,,,,,,
22-Oct,0,200,,,,,,,
23-Oct,0,200,,,,,,,
24-Oct,0,200,,,,,,,
25-Oct,0,200,,,,,,,
26-Oct,0,200,,,,,,,
27-Oct,0,200,,,,,,,
28-Oct,0,200,,,,,,,
29-Oct,0,200,,,,,,,
30-Oct,0,200,,,,,,,
31-Oct,0,200,,,,,,,
1-Nov,0,200,,,,,,,
2-Nov,0,200,,,,,,,
3-Nov,0,200,,,,,,,
4-Nov,0,200,,,,,,,
5-Nov,0,200,,,,,,,
6-Nov,0,200,,,,,,,
7-Nov,0,200,,,,,,,
8-Nov,0,200,,,,,,,
9-Nov,0,200,,,,,,,
10-Nov,0,200,,,,,,,
11-Nov,0,200,,,,,,,
12-Nov,0,200,,,,,,,
13-Nov,0,200,,,,,,,
14-Nov,0,200,,,,,,,
15-Nov,0,200,,,,,,,
16-Nov,0,200,,,,,,,
17-Nov,0,200,,,,,,,
18-Nov,0,200,,,,,,,
19-Nov,0,200,,,,,,,
20-Nov,0,200,,,,,,,
21-Nov,0,200,,,,,,,
22-Nov,0,200,,,,,,,
23-Nov,0,200,,,,,,,
24-Nov,0,200,,,,,,,
25-Nov,0,200,,,,,,,
26-Nov,0,200,,,,,,,
27-Nov,0,200,,,,,,,
28-Nov,0,200,,,,,,,
29-Nov,0,200,,,,,,,
30-Nov,0,200,,,,,,,
1-Dec,0,200,,,,,,,
2-Dec,0,200,,,,,,,
3-Dec,0,200,,,,,,,
4-Dec,0,200,,,,,,,
5-Dec,0,200,,,,,,,
6-Dec,0,200,,,,,,,
7-Dec,0,200,,,,,,,
8-Dec,0,200,,,,,,,
9-Dec,0,200,,,,,,,
10-Dec,0,200,,,,,,,
11-Dec,0,200,,,,,,,
12-Dec,0,200,,,,,,,
13-Dec,0,200,,,,,,,
